Gene,Scaffold,Chromosome,ZorA,Non.sites,Syn.sites,pN,pS,dN,dS,SPM.Female
Msex2.00033,scaffold00001,14,A,297,78,6,1,7,4,0.612392021492101
Msex2.00034,scaffold00001,14,A,1756,548,45,21,44,17,0.825854049294249
Msex2.00035,scaffold00001,14,A,488.666666666667,126.333333333333,4,5,3,2,0.609453190704801
Msex2.00036,scaffold00001,14,A,760.666666666667,196.333333333333,6,7,12,8,0.0184947524233441
Msex2.00037,scaffold00001,14,A,3802,1046,22,13,13,16,0.709141657841639
Msex2.00038,scaffold00001,14,A,5025.33333333333,1532.66666666667,19,48,9,52,0.476734303685976
Msex2.00039,scaffold00001,14,A,458.333333333333,111.666666666667,13,5,12,0,0.436220371910199
Msex2.00040,scaffold00001,14,A,5729.33333333333,1686.66666666667,27,39,10,12,0.341432061286119
Msex2.00041,scaffold00001,14,A,2979.33333333333,740.666666666666,29,7,14,1,0.669949785393126
Msex2.00042,scaffold00001,14,A,43.6666666666667,10.3333333333333,0,0,0,0,0.955604118448565
Msex2.00043,scaffold00001,14,A,77,22,4,0,3,2,0.833584905660377
Msex2.00044,scaffold00001,14,A,1424.33333333333,384.666666666667,9,8,5,10,0.418257822864133
Msex2.00045,scaffold00001,14,A,1085.66666666667,267.333333333333,24,30,26,24,0.00567491835427368
Msex2.00046,scaffold00001,14,A,374.666666666667,114.333333333333,12,23,4,6,0.00116932811808044
Msex2.00047,scaffold00001,14,A,1031.33333333333,258.666666666667,28,18,12,19,0
Msex2.00048,scaffold00001,14,A,1014,309,12,2,0,0,0.0015487275191381
Msex2.00049,scaffold00001,14,A,995,241,40,19,17,4,0.00182955942871923
Msex2.00050,scaffold00001,14,A,1146.33333333333,335.666666666667,24,18,17,15,0.237084940032775
Msex2.00051,scaffold00001,14,A,1391.33333333333,429.666666666667,34,24,23,23,0.538931341837384
Msex2.00052,scaffold00001,14,A,5376.66666666667,1427.33333333333,5,5,24,11,0.388972714578751
Msex2.00053,scaffold00001,14,A,3806.33333333333,1101.66666666667,22,31,10,18,0.562267685068329
Msex2.00054,scaffold00001,14,A,327.666666666667,92.3333333333333,4,8,4,5,0.712566556245102
Msex2.00055,scaffold00001,14,A,282,99,3,0,14,10,0.276771563671939
Msex2.00056,scaffold00001,14,A,2666.66666666667,831.333333333333,21,15,20,4,0.141843709928875
Msex2.00057,scaffold00001,14,A,1915,542,25,35,24,20,0.546903842126232
Msex2.00058,scaffold00001,14,A,3846,1149,13,11,11,26,0.69213507042807
Msex2.00059,scaffold00001,14,A,4660.33333333333,1429.66666666667,108,114,67,45,0.46700520659116
Msex2.00060,scaffold00001,14,A,518,166,0,14,2,6,0.303149428199318
Msex2.00061,scaffold00001,14,A,744.666666666667,203.333333333333,8,26,10,16,0.793716632865066
Msex2.00062,scaffold00001,14,A,4498.66666666667,1468.33333333333,21,17,11,9,0.52809024979855
Msex2.00063,scaffold00001,14,A,674.666666666667,213.333333333333,11,5,10,2,0.601820464271388
Msex2.00064,scaffold00001,14,A,350.333333333333,96.6666666666666,11,1,12,4,0.980024431893716
Msex2.00065,scaffold00001,14,A,989.666666666667,255.333333333333,12,9,30,19,4.30130123987331e-05
Msex2.00066,scaffold00001,14,A,856,233,12,8,20,28,5.34252509279123e-06
Msex2.00067,scaffold00001,14,A,1190,334,16,18,15,25,0.525303174898811
Msex2.00068,scaffold00001,14,A,2102,610,16,7,11,8,0.624955226089088
Msex2.00069,scaffold00001,14,A,615.666666666667,161.333333333333,22,9,18,7,0.65413240407625
Msex2.00070,scaffold00001,14,A,294.333333333333,80.6666666666666,11,4,14,8,0.628252788104089
Msex2.00071,scaffold00001,14,A,358.666666666667,97.3333333333333,6,3,4,10,1.8676771307324e-05
Msex2.00072,scaffold00001,14,A,450,123,2,0,6,1,0.00153150822930422
Msex2.00073,scaffold00001,14,A,1991.33333333333,630.666666666667,16,16,29,9,0.491049047122352
Msex2.00074,scaffold00001,14,A,2590,743,29,2,55,11,0.677048666020485
Msex2.00075,scaffold00001,14,A,19320.3333333333,5534.66666666667,80,30,71,30,0.631105869273172
Msex2.00076,scaffold00001,14,A,1440.66666666667,413.333333333333,5,56,3,24,0.606760598424864
Msex2.00077,scaffold00001,14,A,11752.3333333333,3451.66666666667,43,32,31,27,4.28002402160299e-06
Msex2.00078,scaffold00001,14,A,291.666666666667,80.3333333333333,17,5,7,2,0.219725608829823
Msex2.00079,scaffold00001,14,A,1262.66666666667,324.333333333333,18,6,17,18,0.436961378870093
Msex2.00080,scaffold00001,14,A,332.333333333333,90.6666666666666,5,6,3,0,0.630638912600959
Msex2.00081,scaffold00001,14,A,1241.66666666667,366.333333333333,11,13,23,14,0.529259325210638
Msex2.00082,scaffold00001,14,A,2367.66666666667,623.333333333333,22,45,37,85,0.600543694897941
Msex2.00083,scaffold00001,14,A,8678.33333333333,2358.66666666667,84,37,176,82,0.718025637783583
Msex2.00084,scaffold00001,14,A,5256,1461,51,23,51,21,0.886403857452328
Msex2.00085,scaffold00001,14,A,864,249,26,17,31,21,0.95767721161152
Msex2.00086,scaffold00003,8,A,982.666666666667,283.333333333333,3,14,0,1,0.464312209547618
Msex2.00087,scaffold00003,8,A,449.333333333333,108.666666666667,19,7,1,0,0.368454144054014
Msex2.00088,scaffold00003,8,A,3841.66666666667,964.333333333333,21,11,13,6,0.669522028248081
Msex2.00089,scaffold00003,8,A,266.666666666667,60.3333333333333,0,0,0,0,0.405644353732572
Msex2.00090,scaffold00003,8,A,323.333333333333,93.6666666666666,0,2,0,0,0.509212541874049
Msex2.00091,scaffold00003,8,A,650,181,3,6,3,13,0.538797287547197
Msex2.00092,scaffold00003,8,A,5812,1622,12,35,5,6,0.440068901594171
Msex2.00093,scaffold00003,8,A,2481.33333333333,764.666666666667,40,23,10,3,0.564492051998704
Msex2.00094,scaffold00003,8,A,2424.66666666667,629.333333333333,79,71,16,25,0.206756462044448
Msex2.00095,scaffold00003,8,A,750.666666666667,197.333333333333,23,5,15,1,0.609594032178097
Msex2.00096,scaffold00003,8,A,900,240,26,16,10,7,0.43524887372119
Msex2.00097,scaffold00003,8,A,664,179,13,16,6,5,0.506574055211695
Msex2.00098,scaffold00003,8,A,915.333333333333,254.666666666667,14,32,5,14,0.774108607787428
Msex2.00099,scaffold00003,8,A,585.666666666667,185.333333333333,16,7,10,1,0.646491876029482
Msex2.00100,scaffold00003,8,A,1280,406,71,15,20,4,9.39789943338087e-06
Msex2.00101,scaffold00003,8,A,1508.66666666667,567.333333333333,1,5,2,14,0.178832116788322
Msex2.00102,scaffold00003,8,A,7560,2388,39,26,21,20,0.995372750642673
Msex2.00103,scaffold00003,8,A,2938.66666666667,916.333333333333,16,22,11,9,0.597487890931945
Msex2.00104,scaffold00003,8,A,5626.66666666667,1693.33333333333,16,2,18,0,0.533995399292463
Msex2.00105,scaffold00003,8,A,356.333333333333,105.666666666667,9,9,10,6,0.633837000364509
Msex2.00106,scaffold00003,8,A,856.666666666667,247.333333333333,6,13,9,5,0.833704588222687
Msex2.00107,scaffold00003,8,A,963.666666666667,305.333333333333,25,5,14,4,0.0168798156133256
Msex2.00108,scaffold00003,8,A,4853,1294,63,114,56,124,5.6497643645259e-05
Msex2.00109,scaffold00003,8,A,812,223,16,7,11,3,0.00490045941807044
Msex2.00110,scaffold00003,8,A,344.333333333333,96.6666666666666,3,4,1,5,0.514857175729948
Msex2.00111,scaffold00003,8,A,2281,671,40,31,25,22,0.525439427927357
Msex2.00112,scaffold00003,8,A,982.333333333333,238.666666666667,52,37,56,24,0.087515936559743
Msex2.00113,scaffold00003,8,A,603.333333333333,176.666666666667,14,25,6,12,0.73749056248819
Msex2.00114,scaffold00003,8,A,576.666666666667,179.333333333333,0,0,0,0,0.249059540933691
Msex2.00115,scaffold00003,8,A,604.666666666667,187.333333333333,6,7,4,10,0
Msex2.00116,scaffold00003,8,A,304.333333333333,97.6666666666667,6,5,1,5,0.26944679551307
Msex2.00117,scaffold00003,8,A,632,202,3,12,7,10,0.00288217661978326
Msex2.00118,scaffold00003,8,A,747.666666666667,218.333333333333,2,5,5,9,0.257228989180767
Msex2.00119,scaffold00003,8,A,2348.66666666667,675.333333333333,24,15,26,12,0.338240881304447
Msex2.00120,scaffold00003,8,A,1420.66666666667,376.333333333333,28,22,23,23,1.74698236093747e-05
Msex2.00121,scaffold00003,8,A,829,251,5,19,11,15,0.468931718082295
Msex2.00122,scaffold00003,8,A,465,147,13,1,10,1,0.682829568910647
Msex2.00123,scaffold00003,8,A,1174.66666666667,319.333333333333,29,26,20,27,0.363873887883326
Msex2.00124,scaffold00003,8,A,3385.33333333333,949.666666666666,37,22,22,14,0.538949450987601
Msex2.00125,scaffold00003,8,A,783,246,19,17,16,4,0.516768738446418
Msex2.00126,scaffold00003,8,A,200.666666666667,63.3333333333333,0,3,0,6,0.546782537367686
Msex2.00127,scaffold00003,8,A,956.333333333333,282.666666666667,19,3,33,15,0.628875496727048
Msex2.00128,scaffold00003,8,A,1303.66666666667,370.333333333333,34,26,23,22,0.570682031610881
Msex2.00129,scaffold00003,8,A,420,105,5,6,7,5,0.826965066607489
Msex2.00130,scaffold00003,8,A,1620,405,5,10,16,13,0.559838201270601
Msex2.00131,scaffold00003,8,A,1660.33333333333,475.666666666667,41,26,35,17,0
Msex2.00132,scaffold00003,8,A,581,166,1,4,1,5,0.868437788714459
Msex2.00133,scaffold00003,8,A,3945.33333333333,920.666666666666,59,9,116,41,0.00380826691803544
Msex2.00134,scaffold00003,8,A,6507.66666666667,1934.33333333333,6,8,12,16,0.593398772857975
Msex2.00135,scaffold00003,8,A,514,167,4,13,1,8,1.14209709725088e-05
Msex2.00136,scaffold00003,8,A,13156.6666666667,3712.33333333333,30,7,38,1,9.67035305500504e-06
Msex2.00137,scaffold00003,8,A,3811.33333333333,1060.66666666667,48,34,90,81,0.377857416283281
Msex2.00138,scaffold00003,8,A,806,214,4,1,15,35,4.13397494311986e-06
Msex2.00139,scaffold00003,8,A,567.666666666667,158.333333333333,1,7,3,10,0.472998108291882
Msex2.00140,scaffold00003,8,A,670.666666666667,163.333333333333,7,4,9,13,0.149173591593856
Msex2.00141,scaffold00003,8,A,555.333333333333,146.666666666667,6,10,18,5,0.678112625179807
Msex2.00142,scaffold00003,8,A,591,162,12,4,13,6,0.42118673613528
Msex2.00143,scaffold00003,8,A,976,338,6,10,4,15,0.482058508044279
Msex2.00144,scaffold00003,8,A,1188,360,7,13,14,16,0.593453404668254
Msex2.00145,scaffold00003,8,A,2346.33333333333,689.666666666667,11,2,28,10,0.534537729339606
Msex2.00146,scaffold00003,8,A,1656,480,16,20,23,13,0.443962986151351
Msex2.00147,scaffold00003,8,A,1470,456,7,2,14,15,0.999954594806454
Msex2.00148,scaffold00003,8,A,278,70,2,0,9,8,0.547599292297027
Msex2.00149,scaffold00003,8,A,280.666666666667,70.3333333333333,1,2,6,5,0.543564379219712
Msex2.00150,scaffold00003,8,A,207.333333333333,41.6666666666667,0,2,1,5,0.614852447961643
Msex2.00151,scaffold00003,8,A,1669.66666666667,391.333333333333,9,4,38,20,0.742820181574972
Msex2.00152,scaffold00003,8,A,3357.33333333333,896.666666666666,35,17,88,30,0.811645108861509
Msex2.00153,scaffold00003,8,A,774.333333333333,209.666666666667,10,12,11,21,0.522072476479525
Msex2.00154,scaffold00003,8,A,826.666666666667,211.333333333333,4,13,6,16,0.556666664188073
Msex2.00155,scaffold00003,8,A,1654,494,9,6,15,8,0.654866813463587
Msex2.00156,scaffold00003,8,A,1220.33333333333,333.666666666667,2,4,2,40,0.763796271036187
Msex2.00157,scaffold00003,8,A,9742,2660,14,8,25,24,0.427263615732132
Msex2.00158,scaffold00003,8,A,1012,248,6,5,2,5,0.446048309422068
Msex2.00159,scaffold00003,8,A,3040.66666666667,847.333333333333,11,11,12,23,0.599803025180438
Msex2.00160,scaffold00003,8,A,2554,761,3,5,19,7,0.299831252321495
Msex2.00161,scaffold00003,8,A,10185,3033,65,15,99,27,0.482030125317471
Msex2.00162,scaffold00003,8,A,4682,1588,12,35,5,24,0.574547843609161
Msex2.00163,scaffold00003,8,A,1827.33333333333,554.666666666667,12,10,11,10,0.086618793579883
Msex2.00164,scaffold00002,5,A,8642,2725,21,10,5,7,0.568148614246972
Msex2.00165,scaffold00002,5,A,3161,859,14,11,5,5,0.00302894865525944
Msex2.00166,scaffold00002,5,A,443,124,2,9,4,6,0.0134033050975184
Msex2.00167,scaffold00002,5,A,568,188,1,12,1,1,0.528029787051119
Msex2.00168,scaffold00002,5,A,7507,1883,10,35,8,56,0.538622008144892
Msex2.00169,scaffold00002,5,A,605.666666666667,180.333333333333,2,10,3,3,0.510205144004412
Msex2.00170,scaffold00002,5,A,289.666666666667,85.3333333333333,5,12,1,7,0.571901571751291
Msex2.00171,scaffold00002,5,A,612.333333333333,176.666666666667,1,10,3,9,0.633730771708014
Msex2.00172,scaffold00002,5,A,637.333333333333,211.666666666667,1,33,2,11,0.595698418287112
Msex2.00173,scaffold00002,5,A,616,176,10,25,4,16,0.754963798033896
Msex2.00174,scaffold00002,5,A,2294.66666666667,597.333333333333,43,12,20,2,0.523256716285402
Msex2.00175,scaffold00002,5,A,5280.33333333333,1370.66666666667,36,5,28,15,0.992335785549588
Msex2.00176,scaffold00002,5,A,2672.66666666667,786.333333333333,63,47,30,34,0.556430717141924
Msex2.00177,scaffold00002,5,A,247.333333333333,58.6666666666667,2,3,3,0,1.95978428452532e-06
Msex2.00178,scaffold00002,5,A,630.333333333333,167.666666666667,1,6,8,9,0.693595336855673
Msex2.00179,scaffold00002,5,A,2221,614,43,27,30,28,0.266598925164979
Msex2.00180,scaffold00002,5,A,232.666666666667,76.3333333333333,1,1,1,0,0.593267144121069
Msex2.00181,scaffold00002,5,A,1054.33333333333,274.666666666667,31,30,46,22,0.422937940708833
Msex2.00182,scaffold00002,5,A,2244.66666666667,635.333333333333,1,40,0,28,0.21308678279732
Msex2.00183,scaffold00002,5,A,66076.6666666667,19810.3333333333,92,34,109,48,0.606165516883588
Msex2.00184,scaffold00002,5,A,2817.33333333333,809.666666666666,23,18,29,20,0.923278436367788
Msex2.00185,scaffold00002,5,A,5307,1608,62,12,77,12,0.592279188336774
Msex2.00186,scaffold00002,5,A,4365.66666666667,1154.33333333333,31,24,49,54,0.687294259850086
Msex2.00187,scaffold00002,5,A,1441.33333333333,352.666666666667,10,7,19,37,0.650869622853074
Msex2.00188,scaffold00002,5,A,1150.66666666667,343.333333333333,9,1,27,11,0.513709544341235
Msex2.00189,scaffold00002,5,A,1743,507,15,6,23,10,0.517264511759084
Msex2.00190,scaffold00002,5,A,1037,250,6,3,18,34,0.713960399525802
Msex2.00191,scaffold00002,5,A,546.333333333333,140.666666666667,5,1,23,3,0.0389464634600956
Msex2.00192,scaffold00002,5,A,17577.3333333333,4730.66666666667,14,3,51,35,0.123376066103337
Msex2.00193,scaffold00002,5,A,3909.66666666667,1022.33333333333,12,3,94,68,0.446261471971692
Msex2.00194,scaffold00002,5,A,876.333333333333,236.666666666667,2,4,19,16,0.671773888125991
Msex2.00195,scaffold00002,5,A,1015.33333333333,319.666666666667,5,4,18,29,0.892126068843461
Msex2.00196,scaffold00002,5,A,1576.33333333333,424.666666666667,7,3,31,32,0.770810286719977
Msex2.00197,scaffold00002,5,A,2147.66666666667,603.333333333333,7,6,20,19,0.542291326764385
Msex2.00198,scaffold00002,5,A,1944.66666666667,488.333333333333,9,8,31,27,0.000215413951481797
Msex2.00199,scaffold00002,5,A,705.666666666667,197.333333333333,3,1,6,22,0.636020123440402
Msex2.00200,scaffold00002,5,A,11340.3333333333,2990.66666666667,1,1,26,16,0.638657565971405
Msex2.00201,scaffold00002,5,A,1475,391,7,12,7,29,0.189971034788494
Msex2.00202,scaffold00002,5,A,205,71,0,1,5,0,0
Msex2.00203,scaffold00002,5,A,2097.66666666667,659.333333333333,14,17,15,70,0.497677763400473
Msex2.00204,scaffold00002,5,A,998,319,9,7,30,16,0.583763062882365
Msex2.00205,scaffold00002,5,A,3978.33333333333,1244.66666666667,17,17,12,57,0.728467101184557
Msex2.00206,scaffold00002,5,A,1329.33333333333,386.666666666667,1,1,5,4,0.417438270837189
Msex2.00207,scaffold00002,5,A,7912.66666666667,2368.33333333333,17,12,36,35,0.64358111307213
Msex2.00208,scaffold00002,5,A,7481,2539,19,5,40,17,0.536604106983742
Msex2.00209,scaffold00002,5,A,380.666666666667,99.3333333333333,1,1,11,7,0.390537950627598
Msex2.00210,scaffold00002,5,A,3135.33333333333,740.666666666666,8,2,33,13,0.732913250073085
Msex2.00211,scaffold00002,5,A,886.333333333333,214.666666666667,2,8,9,29,0.766641717757872
Msex2.00212,scaffold00002,5,A,646.333333333333,178.666666666667,12,4,7,8,1.54084849328974e-05
Msex2.00213,scaffold00002,5,A,1224,342,6,6,15,10,1.15865363169306e-05
Msex2.00214,scaffold00002,5,A,30411,9870,32,15,22,20,0.509738573990608
Msex2.00215,scaffold00002,5,A,947,322,20,4,20,10,0.414467684828691
Msex2.00216,scaffold00002,5,A,3626,1087,21,13,60,51,0.418734185844705
Msex2.00217,scaffold00002,5,A,1395.33333333333,431.666666666667,9,3,9,6,0.637002373577132
Msex2.00218,scaffold00002,5,A,1211,361,3,5,15,20,0.41013452841861
Msex2.00219,scaffold00002,5,A,4338.66666666667,1280.33333333333,40,6,103,15,0.630283911606819
Msex2.00220,scaffold00002,5,A,1164.66666666667,293.333333333333,1,9,8,27,0.420898880007897
Msex2.00221,scaffold00002,5,A,3622.66666666667,1075.33333333333,7,12,16,18,0.614528292292185
Msex2.00222,scaffold00002,5,A,3550.66666666667,1057.33333333333,5,2,19,10,0.766844498251635
Msex2.00223,scaffold00002,5,A,348.666666666667,119.333333333333,9,0,7,1,0.998203171130552
Msex2.00224,scaffold00002,5,A,2705.66666666667,900.333333333333,21,14,104,28,0.522657266998861
Msex2.00225,scaffold00002,5,A,1890,549,10,5,26,29,0.697315116885596
Msex2.00226,scaffold00002,5,A,3757,1004,7,5,21,24,0.800786490287968
Msex2.00227,scaffold00002,5,A,9789.33333333333,2768.66666666667,7,3,22,21,0.609818917626484
Msex2.00228,scaffold00002,5,A,821.333333333333,216.666666666667,3,3,14,22,0.41687238669822
Msex2.00229,scaffold00002,5,A,4417.33333333333,1090.66666666667,7,1,29,10,0.579983852812407
Msex2.00230,scaffold00002,5,A,1295.33333333333,387.666666666667,8,9,21,21,0.436668526382623
Msex2.00231,scaffold00002,5,A,3017.33333333333,900.666666666666,6,11,12,22,0.492022696472773
Msex2.00232,scaffold00002,5,A,507.333333333333,164.666666666667,1,5,0,7,0.685228812527571
Msex2.00233,scaffold00002,5,A,1208,328,7,7,7,6,0.610079823405652
Msex2.00234,scaffold00002,5,A,936,225,9,5,22,15,0.734923816848984
Msex2.00235,scaffold00002,5,A,840.666666666667,215.333333333333,1,2,6,6,0.532897976783145
Msex2.00236,scaffold00002,5,A,3055.66666666667,886.333333333333,9,7,79,40,0.309744470259006
Msex2.00237,scaffold00002,5,A,9692.33333333333,2961.66666666667,12,5,39,14,0.57714936374171
Msex2.00238,scaffold00002,5,A,912.333333333333,245.666666666667,2,2,7,17,2.9004923353025e-06
Msex2.00239,scaffold00002,5,A,2777.33333333333,831.666666666666,11,4,34,16,0.121169862912054
Msex2.00240,scaffold00002,5,A,298.666666666667,82.3333333333333,1,0,4,1,0.470688920808558
Msex2.00241,scaffold00002,5,A,9036.33333333333,2816.66666666667,7,5,37,43,0.500957256807477
Msex2.00242,scaffold00002,5,A,5727.33333333333,1688.66666666667,1,7,11,33,0.575750855108648
Msex2.00243,scaffold00002,5,A,286,86,0,0,0,0,0.946087234241254
Msex2.00244,scaffold00002,5,A,1118.33333333333,294.666666666667,1,4,1,33,0.63766861497159
Msex2.00245,scaffold00002,5,A,1429.66666666667,409.333333333333,3,1,15,20,0.55426060368297
Msex2.00246,scaffold00002,5,A,1021.33333333333,310.666666666667,2,1,1,16,0.571078041762588
Msex2.00247,scaffold00002,5,A,1555.66666666667,532.333333333333,5,0,2,2,0.442330997584179
Msex2.00248,scaffold00006,4,A,1224,384,6,19,7,3,0.572496548641298
Msex2.00249,scaffold00006,4,A,1194.66666666667,353.333333333333,0,27,1,13,0.480073599304745
Msex2.00250,scaffold00006,4,A,667,176,10,11,2,3,0.0896847479792664
Msex2.00251,scaffold00006,4,A,913.333333333333,283.666666666667,10,7,8,8,0.612045648981133
Msex2.00252,scaffold00006,4,A,4582,1433,3,51,1,57,0.608322111135595
Msex2.00253,scaffold00006,4,A,9225.33333333333,2885.66666666667,18,21,15,7,0.647075176655017
Msex2.00254,scaffold00006,4,A,3710.66666666667,1176.33333333333,46,25,34,20,0.00303047011907329
Msex2.00255,scaffold00006,4,A,1636.66666666667,466.333333333333,26,54,11,20,0.741691458275613
Msex2.00256,scaffold00006,4,A,1439.33333333333,411.666666666667,4,2,22,9,0.860903819220108
Msex2.00257,scaffold00006,4,A,378.333333333333,104.666666666667,4,8,4,11,0.784050145767607
Msex2.00258,scaffold00006,4,A,670.333333333333,223.666666666667,6,15,2,8,0.553772413855142
Msex2.00259,scaffold00006,4,A,11946.3333333333,3860.66666666667,8,14,16,9,0.610251627432978
Msex2.00260,scaffold00006,4,A,199.666666666667,70.3333333333333,3,7,0,1,0.671505496971057
Msex2.00261,scaffold00006,4,A,1856,598,20,19,17,9,0.696937891745203
Msex2.00262,scaffold00006,4,A,354.666666666667,98.3333333333333,1,9,0,6,0.495002709673013
Msex2.00263,scaffold00006,4,A,1520,418,2,20,5,13,0.600520432447472
Msex2.00264,scaffold00006,4,A,28457.3333333333,8346.66666666666,177,64,140,31,0.612657065538086
Msex2.00265,scaffold00006,4,A,3727,1028,73,53,55,49,2.40247164681376e-05
Msex2.00266,scaffold00006,4,A,325.333333333333,100.666666666667,8,6,2,3,0.584707065974937
Msex2.00267,scaffold00006,4,A,937,278,32,2,6,0,0.477953508344821
Msex2.00268,scaffold00006,4,A,773.333333333333,252.666666666667,16,16,7,2,0.69448947916395
Msex2.00269,scaffold00006,4,A,1528.66666666667,403.333333333333,6,23,3,4,0.000573965770072489
Msex2.00270,scaffold00006,4,A,1726.66666666667,463.333333333333,34,15,48,16,2.15001775151695e-05
Msex2.00271,scaffold00006,4,A,1022.66666666667,285.333333333333,37,31,17,29,0.092276199351892
Msex2.00272,scaffold00006,4,A,1006.33333333333,319.666666666667,4,4,13,2,0.7298717943183
Msex2.00273,scaffold00006,4,A,122.333333333333,30.6666666666667,3,0,0,0,0.637322766968035
Msex2.00274,scaffold00006,4,A,2388.66666666667,707.333333333333,9,21,8,15,0.276191079326299
Msex2.00275,scaffold00006,4,A,4505.33333333333,1281.66666666667,28,73,19,42,0.395834397211798
Msex2.00276,scaffold00006,4,A,513.333333333333,155.666666666667,20,18,2,6,0.0896044802240112
Msex2.00277,scaffold00006,4,A,520.666666666667,139.333333333333,5,27,0,14,0.457316898284295
Msex2.00278,scaffold00006,4,A,773,259,23,5,11,3,0.847915747752036
Msex2.00279,scaffold00006,4,A,817.333333333333,238.666666666667,14,8,12,12,0.97731861068533
Msex2.00280,scaffold00006,4,A,524,151,31,8,16,4,0.000126220245695898
Msex2.00281,scaffold00006,4,A,352.666666666667,106.333333333333,20,4,15,3,NA
Msex2.00282,scaffold00006,4,A,2411.66666666667,717.333333333333,6,6,0,50,0.633514438362407
Msex2.00283,scaffold00006,4,A,836.666666666667,201.333333333333,9,0,1,0,0.59618795729413
Msex2.00284,scaffold00006,4,A,2091.33333333333,608.666666666667,26,49,29,32,0.882495581940063
Msex2.00285,scaffold00006,4,A,3723.66666666667,1157.33333333333,41,46,34,36,0.536939069124514
Msex2.00286,scaffold00006,4,A,1228.33333333333,325.666666666667,11,6,9,7,0.59063361354314
Msex2.00287,scaffold00006,4,A,217.333333333333,52.6666666666667,1,1,0,6,0.449140121094377
Msex2.00288,scaffold00006,4,A,355.333333333333,91.6666666666666,2,6,8,15,0.556843355631746
Msex2.00289,scaffold00006,4,A,5049,1452,40,48,33,52,0.434375531026687
Msex2.00290,scaffold00006,4,A,4330.66666666667,1225.33333333333,139,54,98,46,0.316675007656885
Msex2.00291,scaffold00006,4,A,1805,580,6,21,11,15,0.465951090734601
Msex2.00292,scaffold00006,4,A,613.666666666667,202.333333333333,9,3,15,6,0.495393930362624
Msex2.00293,scaffold00006,4,A,170,43,1,0,2,0,0.904728471107829
Msex2.00294,scaffold00006,4,A,960.333333333333,284.666666666667,8,7,17,14,0.858704839171696
Msex2.00295,scaffold00006,4,A,790,296,2,19,1,10,0.520554785998849
Msex2.00296,scaffold00006,4,A,1110,426,7,16,3,17,0.307951211068674
Msex2.00297,scaffold00006,4,A,1394,514,23,17,15,38,0.0568940493468795
